City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Muroto,JP,2021-10-09 02:27:01,33.2833,134.15,82.44,69,2,13.04
170,Saint-Philippe,RE,2021-10-09 02:24:14,-21.3585,55.7679,69.39,81,95,15.39
171,Porto Belo,BR,2021-10-09 02:27:02,-27.1578,-48.5531,64.38,88,100,10.33
172,Husavik,IS,2021-10-09 02:24:30,66.0449,-17.3389,40.91,94,98,6.11
173,Airai,TL,2021-10-09 02:24:48,-8.9266,125.4092,80.69,28,9,5.97
174,Provideniya,RU,2021-10-09 02:24:26,64.3833,-173.3,35.46,83,100,9.8
175,Hirado,JP,2021-10-09 02:27:02,33.3597,129.5531,79.95,69,0,2.13
176,Emerald,AU,2021-10-09 02:27:03,-23.5333,148.1667,86.34,35,0,9.22
177,Asahikawa,JP,2021-10-09 02:27:03,43.7678,142.3703,63.61,48,20,5.75
178,Villa Carlos Paz,AR,2021-10-09 02:27:04,-31.4241,-64.4978,61.39,44,95,3.0
179,Bahia Blanca,AR,2021-10-09 02:27:04,-38.7196,-62.2724,55.42,55,0,6.8
180,Warwick,US,2021-10-09 02:22:13,41.7001,-71.4162,62.35,85,90,11.5
181,Flinders,AU,2021-10-09 02:26:01,-34.5833,150.8552,81.81,46,76,5.99
182,Souris,CA,2021-10-09 02:27:05,49.6172,-100.2612,44.46,48,100,8.12
183,Dunedin,NZ,2021-10-09 02:24:23,-45.8742,170.5036,52.29,85,100,7.61
184,Balikpapan,ID,2021-10-09 02:27:05,-1.2675,116.8289,85.19,79,20,4.61
185,Padang,ID,2021-10-09 02:27:06,-0.9492,100.3543,84.25,72,88,3.22
186,Mazamari,PE,2021-10-09 02:27:06,-11.3258,-74.5308,70.48,90,57,2.46
187,Esperance,AU,2021-10-09 02:25:41,-33.8667,121.9,58.84,58,97,13.69
188,Mago,RU,2021-10-09 02:27:07,53.2514,140.1822,46.96,42,91,8.55
189,North Bend,US,2021-10-09 02:27:07,43.4065,-124.2243,53.92,89,90,3.44
190,Georgetown,MY,2021-10-09 02:24:03,5.4112,100.3354,85.93,80,20,2.3
191,Hami,CN,2021-10-09 02:27:07,42.8,93.45,38.84,45,0,6.76
192,Malakal,SS,2021-10-09 02:27:08,9.5334,31.6605,73.8,90,59,4.12
193,Vetluga,RU,2021-10-09 02:27:08,57.8557,45.781,36.75,92,95,5.12
194,Birjand,IR,2021-10-09 02:27:08,32.8663,59.2211,48.67,31,0,9.22
195,Mackay,AU,2021-10-09 02:24:36,-21.15,149.2,85.68,65,3,10.36
196,Caravelas,BR,2021-10-09 02:27:09,-17.7125,-39.2481,73.67,75,98,10.8
197,Kloulklubed,PW,2021-10-09 02:25:58,7.0419,134.2556,83.98,75,95,21.9
198,Anadyr,RU,2021-10-09 02:27:09,64.75,177.4833,32.5,93,75,11.01
199,Grand Gaube,MU,2021-10-09 02:27:10,-20.0064,57.6608,70.2,78,6,5.01
200,Quatre Cocos,MU,2021-10-09 02:23:46,-20.2078,57.7625,69.91,79,33,13.4
201,Celestun,MX,2021-10-09 02:27:10,20.8667,-90.4,81.73,80,100,12.64
202,Road Town,VG,2021-10-09 02:27:11,18.4167,-64.6167,82.2,71,98,14.61
203,Surt,LY,2021-10-09 02:27:11,31.2089,16.5887,75.54,72,0,11.25
204,Sehithwa,BW,2021-10-09 02:27:11,-20.4667,22.7167,73.54,44,0,2.33
205,Qaqortoq,GL,2021-10-09 02:27:12,60.7167,-46.0333,36.1,54,0,5.66
206,Lodja,CD,2021-10-09 02:27:12,-3.4833,23.4333,68.61,98,80,1.7
207,Williams Lake,CA,2021-10-09 02:25:09,52.1415,-122.1445,47.77,66,1,5.75
208,Narsaq,GL,2021-10-09 02:24:30,60.9167,-46.05,35.82,49,0,7.14
209,Metro,ID,2021-10-09 02:27:13,-5.1131,105.3067,87.28,59,19,7.07
210,Geraldton,AU,2021-10-09 02:25:20,-28.7667,114.6,68.41,37,2,17.27
211,Srandakan,ID,2021-10-09 02:27:13,-7.9386,110.2506,67.73,65,30,8.77
212,Oranjemund,NA,2021-10-09 02:27:13,-28.55,16.4333,55.24,87,6,6.02
213,Cabimas,VE,2021-10-09 02:27:14,10.3883,-71.4399,81.43,79,52,12.5
214,Doha,QA,2021-10-09 02:23:28,25.2867,51.5333,87.78,62,0,9.22
215,Bridgeton,US,2021-10-09 02:27:14,39.4273,-75.2341,68.95,97,75,0.0
216,Marsaxlokk,MT,2021-10-09 02:27:15,35.8419,14.5431,70.09,72,0,6.91
217,Petropavlovka,RU,2021-10-09 02:27:15,50.6114,105.3196,37.8,60,98,5.61
218,Bambous Virieux,MU,2021-10-09 02:24:30,-20.3428,57.7575,70.05,88,40,9.22
219,Iqaluit,CA,2021-10-09 02:25:50,63.7506,-68.5145,35.33,87,90,15.99
220,Rafaela,AR,2021-10-09 02:27:16,-31.2503,-61.4867,60.01,51,0,1.99
221,Yumen,CN,2021-10-09 02:24:57,40.2833,97.2,34.83,37,0,11.81
222,Dakar,SN,2021-10-09 02:22:29,14.6937,-17.4441,82.53,94,100,0.0
223,Cherskiy,RU,2021-10-09 02:25:52,68.75,161.3,11.8,90,66,2.8
224,Libertador General San Martin,AR,2021-10-09 02:27:16,-23.8064,-64.7876,77.97,59,37,3.38
225,Vestmannaeyjar,IS,2021-10-09 02:27:17,63.4427,-20.2734,48.72,86,14,15.55
226,Osa,RU,2021-10-09 02:27:17,57.2829,55.4567,35.22,91,96,3.53
227,Bako,ET,2021-10-09 02:27:17,5.7833,36.5667,63.84,82,99,4.47
228,Daura,NG,2021-10-09 02:27:18,11.5538,11.4085,77.5,26,99,3.36
229,Bafra,TR,2021-10-09 02:27:18,41.5678,35.9069,56.82,77,100,6.78
230,Champerico,GT,2021-10-09 02:27:18,14.3,-91.9167,84.34,75,75,3.02
231,Galesong,ID,2021-10-09 02:27:19,-5.3166,119.3661,87.82,58,76,8.39
232,Lar,IN,2021-10-09 02:27:19,26.2039,83.9717,78.44,68,0,1.88
233,La Rioja,ES,2021-10-09 02:25:59,42.25,-2.5,46.49,52,0,4.92
234,Olavarria,AR,2021-10-09 02:27:19,-36.8927,-60.3225,47.03,82,83,5.46
235,Rorvik,NO,2021-10-09 02:27:20,64.8621,11.2373,53.6,87,100,10.98
236,Povenets,RU,2021-10-09 02:27:20,62.8487,34.8262,49.59,94,100,10.78
237,Tasiilaq,GL,2021-10-09 02:24:27,65.6145,-37.6368,35.76,80,100,5.32
238,Yulara,AU,2021-10-09 02:24:34,-25.2406,130.9889,91.24,16,62,10.36
239,Kolpashevo,RU,2021-10-09 02:27:21,58.3131,82.9089,39.29,81,29,13.62
240,Aklavik,CA,2021-10-09 02:26:03,68.2191,-135.0107,32.83,85,17,4.68
241,Lloydminster,CA,2021-10-09 02:27:21,53.2835,-110.0016,44.82,39,20,8.05
242,Udachnyy,RU,2021-10-09 02:23:50,66.4167,112.4,34.59,93,100,20.51
243,Slave Lake,CA,2021-10-09 02:27:22,55.2834,-114.769,44.58,36,1,5.75
244,Saldanha,ZA,2021-10-09 02:24:16,-33.0117,17.9442,51.85,86,24,8.25
245,Vila,PT,2021-10-09 02:25:38,42.0304,-8.1588,53.92,65,100,3.11
246,Krasnyy Yar,RU,2021-10-09 02:27:22,46.5331,48.3456,34.97,38,0,6.53
